adapter_response_count,campaign_id,category,cli_evidence,cohort,config_fingerprint,elapsed_ms,evidence,finished_at,first_schema_valid_attempt,input_sha256,input_tokens,max_turns,operational_error,order,output_tokens,planner_attempts,planner_retries,returncode,reviewer_attempts,reviewer_issue_count,reviewer_retry_count,run_id,schema_failure_count,schema_version,source_fingerprint,status,subprocess_wall_ms,total_tokens,trial_id,turn_count,usage_note,worker_elapsed_ms,zero_usage_response_count
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2115.936,trials/schema-26/cli/20260914T060753-3f018458d5/result.json,2026-09-14T06:07:55.453379+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,26,130,1,0,0,1,0,0,20260914T060753-3f018458d5,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2534.0272079920396,682,schema-26,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2026.429,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2147.521,trials/schema-27/cli/20260914T060755-9b2045ccd9/result.json,2026-09-14T06:07:58.119320+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,27,130,1,0,0,1,0,0,20260914T060755-9b2045ccd9,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2590.8481660299003,682,schema-27,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2040.8220000000001,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2199.796,trials/schema-28/cli/20260914T060758-2640a836b0/result.json,2026-09-14T06:08:00.780351+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,28,130,1,0,0,1,0,0,20260914T060758-2640a836b0,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2602.224792004563,682,schema-28,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2099.193,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2144.004,trials/schema-29/cli/20260914T060801-d20cb23bb5/result.json,2026-09-14T06:08:03.395391+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,29,130,1,0,0,1,0,0,20260914T060801-d20cb23bb5,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2549.1015830193646,682,schema-29,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2037.462,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2228.172,trials/schema-30/cli/20260914T060803-54cd43f3c6/result.json,2026-09-14T06:08:06.258609+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,30,130,1,0,0,1,0,0,20260914T060803-54cd43f3c6,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2750.2071249764413,682,schema-30,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2133.58,0
2,20260914T0610-baseline,Valid first attempt,True,ceiling_2,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2062.517,trials/pair-01-c2/cli/20260914T060806-fb622b4dbd/result.json,2026-09-14T06:08:09.113348+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,2,,31,130,1,0,0,1,0,0,20260914T060806-fb622b4dbd,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2739.109208981972,682,pair-01-c2,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1931.6129999999998,0
2,20260914T0610-baseline,Valid first attempt,True,ceiling_10,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2254.369,trials/pair-01-c10/cli/20260914T060809-2e2cc33228/result.json,2026-09-14T06:08:11.935438+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,32,130,1,0,0,1,0,0,20260914T060809-2e2cc33228,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2767.5900000031106,682,pair-01-c10,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2159.751,0
2,20260914T0610-baseline,Valid first attempt,True,ceiling_10,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2108.641,trials/pair-02-c10/cli/20260914T060812-7f2445d4b5/result.json,2026-09-14T06:08:14.700951+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,33,130,1,0,0,1,0,0,20260914T060812-7f2445d4b5,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2653.7117090192623,682,pair-02-c10,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1981.408,0
2,20260914T0610-baseline,Valid first attempt,True,ceiling_2,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2264.834,trials/pair-02-c2/cli/20260914T060815-f0f23409e9/result.json,2026-09-14T06:08:17.654865+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,2,,34,130,1,0,0,1,0,0,20260914T060815-f0f23409e9,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2887.394416029565,682,pair-02-c2,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2164.933,0
2,20260914T0610-baseline,Valid first attempt,True,ceiling_2,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2133.772,trials/pair-03-c2/cli/20260914T060818-c071e4f9c8/result.json,2026-09-14T06:08:20.424958+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,2,,35,130,1,0,0,1,0,0,20260914T060818-c071e4f9c8,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2674.8434999608435,682,pair-03-c2,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2010.579,0
